2024-01-02,WHOLE_FOODS,-194.32,debit,Groceries,-6685.07
2024-01-06,SPOTIFY,-199.25,transfer,Dining,7827.52
2024-01-07,NETFLIX,-193.17,credit,Dining,5290.66
2024-01-09,TARGET,-196.76,transfer,Utilities,-7666.42
2024-01-13,STARBUCKS,-195.88,debit,Groceries,-4719.84
2024-01-15,WHOLE_FOODS,-197.61,credit,Entertainment,-8655.71
2024-01-18,STARBUCKS,-193.84,credit,Shopping,3525.64
2024-01-23,WHOLE_FOODS,-196.29,withdrawal,Dining,5677.63
2024-01-24,TARGET,-196.99,debit,Shopping,-4327.84
2024-01-28,TRADER_JOES,-195.41,debit,Entertainment,9405.70
2024-02-06,UBER,-194.99,transfer,Dining,-7075.40
2024-02-09,TRADER_JOES,-193.62,withdrawal,Utilities,982.52
2024-02-14,NETFLIX,-193.43,deposit,Entertainment,8026.77
2024-02-20,SHELL_GAS,-193.74,withdrawal,Transportation,-2360.42
2024-02-23,NETFLIX,-193.98,debit,Utilities,6265.64
2024-03-01,SPOTIFY,-197.87,debit,Groceries,1567.40
2024-03-14,TARGET,-198.99,debit,Transportation,9801.01
2024-03-15,NETFLIX,-194.01,debit,Utilities,4504.02
2024-03-16,STARBUCKS,-195.34,debit,Transportation,-6880.41
2024-03-19,STARBUCKS,-193.94,transfer,Dining,-394.51
2024-03-19,UBER,-193.80,withdrawal,Dining,5483.83
2024-03-22,NETFLIX,-196.65,transfer,Utilities,-8852.36
2024-04-05,UBER,-197.90,transfer,Groceries,-4130.85
2024-04-12,LYFT,-194.61,credit,Utilities,8419.69
2024-04-13,WHOLE_FOODS,-196.98,credit,Groceries,-5112.56
2024-04-15,NETFLIX,-199.46,withdrawal,Dining,-5902.30
2024-04-15,SHELL_GAS,-193.90,debit,Dining,-9046.26
2024-04-17,LYFT,-193.63,withdrawal,Transportation,2550.31
2024-04-28,SHELL_GAS,-198.31,debit,Transportation,588.54
2024-05-03,SHELL_GAS,-193.47,debit,Utilities,6072.17
2024-05-05,SHELL_GAS,-195.19,deposit,Dining,-6490.75
2024-05-06,TRADER_JOES,-198.98,transfer,Groceries,-1179.47
2024-05-07,TRADER_JOES,-198.64,debit,Transportation,-8458.10
2024-05-12,LYFT,-195.56,credit,Shopping,-9636.30
2024-05-21,LYFT,-196.45,credit,Utilities,-9440.74
2024-05-27,SPOTIFY,-193.47,deposit,Groceries,9012.41
2024-05-28,LYFT,-198.42,transfer,Utilities,-3734.95
2024-05-29,WHOLE_FOODS,-194.57,debit,Groceries,3134.82
2024-06-05,LYFT,-195.47,deposit,Shopping,-6097.77
2024-06-09,TARGET,-197.79,deposit,Utilities,-6295.56
2024-06-11,NETFLIX,-194.55,debit,Entertainment,-2554.97
2024-06-16,TARGET,-199.25,transfer,Dining,4893.10
2024-06-19,SHELL_GAS,-193.46,withdrawal,Shopping,7435.57
2024-06-24,LYFT,-194.55,withdrawal,Utilities,393.99
2024-06-26,NETFLIX,-194.59,credit,Dining,-3536.53
2024-06-26,TARGET,-198.38,debit,Dining,-3341.94
2024-06-30,SPOTIFY,-198.25,debit,Shopping,5873.92
2024-07-01,UBER,-195.88,debit,Shopping,-7862.30
2024-07-03,NETFLIX,-194.12,deposit,Transportation,6854.24
2024-07-03,UBER,-196.74,transfer,Transportation,1370.66
2024-07-06,NETFLIX,-197.87,deposit,Transportation,-1970.62
2024-07-11,LYFT,-198.90,withdrawal,Shopping,-593.41
2024-07-13,STARBUCKS,-194.00,debit,Dining,-787.41
2024-07-21,SHELL_GAS,-195.67,debit,Shopping,786.85
2024-07-22,LYFT,-194.52,transfer,Shopping,1176.14
2024-07-25,WHOLE_FOODS,-196.63,credit,Transportation,-5309.19
2024-07-27,LYFT,-198.00,credit,Utilities,-3932.95
2024-08-06,STARBUCKS,-193.50,transfer,Utilities,7048.36
2024-08-10,LYFT,-195.74,deposit,Transportation,-4915.58
2024-08-15,SHELL_GAS,-196.06,withdrawal,Transportation,-2166.68
2024-08-19,UBER,-198.14,deposit,Groceries,-7273.54
2024-08-23,UBER,-195.07,credit,Entertainment,4698.03
2024-08-26,WHOLE_FOODS,-199.17,transfer,Utilities,-1772.75
2024-08-30,SHELL_GAS,-198.31,deposit,Transportation,5092.35
2024-08-30,STARBUCKS,-196.12,transfer,Transportation,-4523.96
2024-09-03,TARGET,-198.35,credit,Entertainment,-8259.46
2024-09-07,AMAZON,-194.34,credit,Dining,2940.48
2024-09-07,WHOLE_FOODS,-198.49,debit,Utilities,7629.03
2024-09-08,LYFT,-195.93,transfer,Dining,6459.62
2024-09-21,TARGET,-193.23,debit,Transportation,-2947.45
2024-09-23,STARBUCKS,-198.03,debit,Entertainment,-9244.29
2024-09-24,WHOLE_FOODS,-196.04,debit,Groceries,4307.98
2024-09-26,TRADER_JOES,-196.12,withdrawal,Dining,-7469.66
2024-09-26,UBER,-197.18,withdrawal,Dining,1961.46
2024-09-28,LYFT,-196.41,withdrawal,Shopping,3719.48
2024-09-29,AMAZON,-199.25,transfer,Transportation,-2754.22
2024-09-29,TRADER_JOES,-193.08,credit,Utilities,-980.49
2024-09-30,STARBUCKS,-198.69,withdrawal,Transportation,6655.55
2024-10-01,STARBUCKS,-196.11,transfer,Groceries,4111.87
2024-10-02,TRADER_JOES,-199.02,deposit,Shopping,-2.76
2024-10-08,WHOLE_FOODS,-196.11,transfer,Groceries,-3143.56
2024-10-12,SHELL_GAS,-199.76,transfer,Groceries,8614.30
2024-10-13,WHOLE_FOODS,-199.90,debit,Utilities,9601.11
2024-10-18,STARBUCKS,-197.81,withdrawal,Entertainment,-200.57
2024-10-22,NETFLIX,-194.42,withdrawal,Shopping,-5702.84
2024-11-02,WHOLE_FOODS,-198.47,debit,Shopping,-1377.94
2024-11-03,LYFT,-195.64,deposit,Groceries,-1573.58
2024-11-14,TRADER_JOES,-197.38,debit,Transportation,2352.93
2024-11-19,AMAZON,-194.29,credit,Groceries,2158.64
2024-11-23,STARBUCKS,-198.35,credit,Groceries,8814.06
2024-11-23,UBER,-199.23,withdrawal,Groceries,-5508.42
2024-11-27,STARBUCKS,-196.54,deposit,Groceries,2743.94
2024-12-03,UBER,-197.73,debit,Utilities,196.26
2024-12-04,AMAZON,-198.81,deposit,Shopping,-8061.11
2024-12-09,TARGET,-196.25,debit,Transportation,3329.39
2024-12-10,WHOLE_FOODS,-195.98,transfer,Shopping,3915.89
2024-12-17,NETFLIX,-193.71,deposit,Groceries,7241.86
2024-12-17,WHOLE_FOODS,-199.82,transfer,Utilities,9205.88
2024-12-19,NETFLIX,-199.49,credit,Dining,8220.20
2024-12-28,WHOLE_FOODS,-196.19,deposit,Transportation,1765.27
